2025-11-19 13:53:51 - analyzer - ERROR - AI模型API调用失败: Not Found
2025-11-19 13:54:01 - analyzer - ERROR - AI模型API调用失败: Not Found
2025-11-19 13:58:16 - analyzer - ERROR - AI模型API调用失败: Not Found
2025-11-19 13:58:21 - analyzer - ERROR - AI模型API调用失败: Not Found
2025-11-19 16:55:23 - analyzer - DEBUG - 从班级名称 '五年级1班' 中提取到年级: 5
2025-11-19 16:55:23 - analyzer - DEBUG - 从班级名称 '一年级1班' 中提取到年级: 1
2025-11-19 16:55:23 - analyzer - DEBUG - 从班级名称 '3年级2班' 中提取到年级: 3
2025-11-19 16:55:23 - analyzer - DEBUG - 从班级名称 '九年级1班' 中提取到年级: 9
2025-11-19 16:55:23 - analyzer - DEBUG - 从班级名称 '二年级3班' 中提取到年级: 2
2025-11-19 16:55:23 - analyzer - DEBUG - 从班级名称 '6年级5班' 中提取到年级: 6
2025-11-19 16:55:23 - analyzer - DEBUG - 从班级名称 '三年级一班' 中提取到年级: 3
2025-11-19 16:55:23 - analyzer - DEBUG - 从班级名称 '四年级二班' 中提取到年级: 4
2025-11-19 16:55:23 - analyzer - DEBUG - 从班级名称 '七年级1班' 中提取到年级: 7
2025-11-19 16:55:23 - analyzer - DEBUG - 从班级名称 '8年级2班' 中提取到年级: 8
2025-11-19 17:01:14 - analyzer - DEBUG - 从班级名称 '一年级144班' 中提取到年级: 1
2025-11-19 17:01:41 - analyzer - DEBUG - 从班级名称 '六年级1班' 中提取到年级: 6
2025-11-20 10:51:15 - analyzer - DEBUG - 从班级名称 '三年级3班' 中提取到年级: 3
2025-11-20 15:51:30 - analyzer - DEBUG - 从班级名称 '五年级1班' 中提取到年级: 5
2025-11-20 16:41:01 - analyzer - DEBUG - 从班级名称 '一年级一班' 中提取到年级: 1
2025-11-21 14:49:53 - analyzer - DEBUG - 从班级名称 '一年级100班' 中提取到年级: 1
2025-11-21 14:49:53 - analyzer - DEBUG - 从班级名称 '一年级101班' 中提取到年级: 1
2025-11-21 14:49:53 - analyzer - DEBUG - 从班级名称 '一年级102班' 中提取到年级: 1
2025-11-21 14:49:53 - analyzer - DEBUG - 从班级名称 '一年级103班' 中提取到年级: 1
2025-11-21 14:49:53 - analyzer - DEBUG - 从班级名称 '一年级104班' 中提取到年级: 1
2025-11-21 14:49:53 - analyzer - DEBUG - 从班级名称 '一年级105班' 中提取到年级: 1
2025-11-21 14:49:53 - analyzer - DEBUG - 从班级名称 '一年级106班' 中提取到年级: 1
2025-11-21 14:49:53 - analyzer - DEBUG - 从班级名称 '一年级107班' 中提取到年级: 1
2025-11-21 14:49:53 - analyzer - DEBUG - 从班级名称 '一年级108班' 中提取到年级: 1
2025-11-21 14:49:53 - analyzer - DEBUG - 从班级名称 '一年级109班' 中提取到年级: 1
2025-11-21 14:49:53 - analyzer - DEBUG - 从班级名称 '一年级10班' 中提取到年级: 1
2025-11-21 14:49:53 - analyzer - DEBUG - 从班级名称 '一年级110班' 中提取到年级: 1
2025-11-21 14:49:53 - analyzer - DEBUG - 从班级名称 '一年级111班' 中提取到年级: 1
2025-11-21 14:49:53 - analyzer - DEBUG - 从班级名称 '一年级112班' 中提取到年级: 1
2025-11-21 14:49:54 - analyzer - DEBUG - 从班级名称 '一年级113班' 中提取到年级: 1
2025-11-21 14:49:54 - analyzer - DEBUG - 从班级名称 '一年级114班' 中提取到年级: 1
2025-11-21 14:49:54 - analyzer - DEBUG - 从班级名称 '一年级115班' 中提取到年级: 1
2025-11-21 14:49:54 - analyzer - DEBUG - 从班级名称 '一年级116班' 中提取到年级: 1
2025-11-21 14:49:54 - analyzer - DEBUG - 从班级名称 '一年级117班' 中提取到年级: 1
2025-11-21 14:49:54 - analyzer - DEBUG - 从班级名称 '一年级118班' 中提取到年级: 1
2025-11-21 14:49:54 - analyzer - DEBUG - 从班级名称 '一年级119班' 中提取到年级: 1
2025-11-21 14:49:54 - analyzer - DEBUG - 从班级名称 '一年级11班' 中提取到年级: 1
2025-11-21 14:49:54 - analyzer - DEBUG - 从班级名称 '一年级120班' 中提取到年级: 1
2025-11-21 14:49:54 - analyzer - DEBUG - 从班级名称 '一年级121班' 中提取到年级: 1
2025-11-21 14:49:54 - analyzer - DEBUG - 从班级名称 '一年级122班' 中提取到年级: 1
2025-11-21 14:49:54 - analyzer - DEBUG - 从班级名称 '一年级123班' 中提取到年级: 1
2025-11-21 14:49:54 - analyzer - DEBUG - 从班级名称 '一年级124班' 中提取到年级: 1
2025-11-21 14:49:55 - analyzer - DEBUG - 从班级名称 '一年级125班' 中提取到年级: 1
2025-11-21 14:49:55 - analyzer - DEBUG - 从班级名称 '一年级126班' 中提取到年级: 1
2025-11-21 14:49:55 - analyzer - DEBUG - 从班级名称 '一年级127班' 中提取到年级: 1
2025-11-21 14:49:55 - analyzer - DEBUG - 从班级名称 '一年级128班' 中提取到年级: 1
2025-11-21 14:49:55 - analyzer - DEBUG - 从班级名称 '一年级129班' 中提取到年级: 1
2025-11-21 14:49:55 - analyzer - DEBUG - 从班级名称 '一年级12班' 中提取到年级: 1
2025-11-21 14:49:55 - analyzer - DEBUG - 从班级名称 '一年级130班' 中提取到年级: 1
2025-11-21 14:49:55 - analyzer - DEBUG - 从班级名称 '一年级131班' 中提取到年级: 1
2025-11-21 14:49:55 - analyzer - DEBUG - 从班级名称 '一年级132班' 中提取到年级: 1
2025-11-21 14:49:55 - analyzer - DEBUG - 从班级名称 '一年级133班' 中提取到年级: 1
2025-11-21 14:49:55 - analyzer - DEBUG - 从班级名称 '一年级134班' 中提取到年级: 1
2025-11-21 14:49:56 - analyzer - DEBUG - 从班级名称 '一年级135班' 中提取到年级: 1
2025-11-21 14:49:56 - analyzer - DEBUG - 从班级名称 '一年级136班' 中提取到年级: 1
2025-11-21 14:49:56 - analyzer - DEBUG - 从班级名称 '一年级137班' 中提取到年级: 1
2025-11-21 14:49:56 - analyzer - DEBUG - 从班级名称 '一年级138班' 中提取到年级: 1
2025-11-21 14:49:56 - analyzer - DEBUG - 从班级名称 '一年级139班' 中提取到年级: 1
2025-11-21 14:49:56 - analyzer - DEBUG - 从班级名称 '一年级13班' 中提取到年级: 1
2025-11-21 14:49:56 - analyzer - DEBUG - 从班级名称 '一年级140班' 中提取到年级: 1
2025-11-21 14:49:56 - analyzer - DEBUG - 从班级名称 '一年级141班' 中提取到年级: 1
2025-11-21 14:49:56 - analyzer - DEBUG - 从班级名称 '一年级142班' 中提取到年级: 1
2025-11-21 14:49:56 - analyzer - DEBUG - 从班级名称 '一年级143班' 中提取到年级: 1
2025-11-21 14:49:57 - analyzer - DEBUG - 从班级名称 '一年级144班' 中提取到年级: 1
2025-11-21 14:49:57 - analyzer - DEBUG - 从班级名称 '一年级145班' 中提取到年级: 1
2025-11-21 14:49:57 - analyzer - DEBUG - 从班级名称 '一年级146班' 中提取到年级: 1
2025-11-21 14:49:57 - analyzer - DEBUG - 从班级名称 '一年级147班' 中提取到年级: 1
2025-11-21 14:49:57 - analyzer - DEBUG - 从班级名称 '一年级148班' 中提取到年级: 1
2025-11-21 14:49:57 - analyzer - DEBUG - 从班级名称 '一年级14班' 中提取到年级: 1
2025-11-21 14:49:57 - analyzer - DEBUG - 从班级名称 '一年级15班' 中提取到年级: 1
2025-11-21 14:49:57 - analyzer - DEBUG - 从班级名称 '一年级16班' 中提取到年级: 1
2025-11-21 14:49:57 - analyzer - DEBUG - 从班级名称 '一年级17班' 中提取到年级: 1
2025-11-21 14:49:57 - analyzer - DEBUG - 从班级名称 '一年级18班' 中提取到年级: 1
2025-11-21 14:49:58 - analyzer - DEBUG - 从班级名称 '一年级19班' 中提取到年级: 1
2025-11-21 14:49:58 - analyzer - DEBUG - 从班级名称 '一年级1班' 中提取到年级: 1
2025-11-21 14:49:58 - analyzer - DEBUG - 从班级名称 '一年级20班' 中提取到年级: 1
2025-11-21 14:49:58 - analyzer - DEBUG - 从班级名称 '一年级21班' 中提取到年级: 1
2025-11-21 14:49:58 - analyzer - DEBUG - 从班级名称 '一年级22班' 中提取到年级: 1
2025-11-21 14:49:58 - analyzer - DEBUG - 从班级名称 '一年级23班' 中提取到年级: 1
2025-11-21 14:49:58 - analyzer - DEBUG - 从班级名称 '一年级24班' 中提取到年级: 1
2025-11-21 14:49:58 - analyzer - DEBUG - 从班级名称 '一年级25班' 中提取到年级: 1
2025-11-21 14:49:58 - analyzer - DEBUG - 从班级名称 '一年级26班' 中提取到年级: 1
2025-11-21 14:49:59 - analyzer - DEBUG - 从班级名称 '一年级27班' 中提取到年级: 1
2025-11-21 14:49:59 - analyzer - DEBUG - 从班级名称 '一年级28班' 中提取到年级: 1
2025-11-21 14:49:59 - analyzer - DEBUG - 从班级名称 '一年级29班' 中提取到年级: 1
2025-11-21 14:49:59 - analyzer - DEBUG - 从班级名称 '一年级2班' 中提取到年级: 1
2025-11-21 14:49:59 - analyzer - DEBUG - 从班级名称 '一年级30班' 中提取到年级: 1
2025-11-21 14:49:59 - analyzer - DEBUG - 从班级名称 '一年级31班' 中提取到年级: 1
2025-11-21 14:49:59 - analyzer - DEBUG - 从班级名称 '一年级32班' 中提取到年级: 1
2025-11-21 14:49:59 - analyzer - DEBUG - 从班级名称 '一年级33班' 中提取到年级: 1
2025-11-21 14:49:59 - analyzer - DEBUG - 从班级名称 '一年级34班' 中提取到年级: 1
2025-11-21 14:50:00 - analyzer - DEBUG - 从班级名称 '一年级35班' 中提取到年级: 1
2025-11-21 14:50:00 - analyzer - DEBUG - 从班级名称 '一年级36班' 中提取到年级: 1
2025-11-21 14:50:00 - analyzer - DEBUG - 从班级名称 '一年级37班' 中提取到年级: 1
2025-11-21 14:50:00 - analyzer - DEBUG - 从班级名称 '一年级38班' 中提取到年级: 1
2025-11-21 14:50:00 - analyzer - DEBUG - 从班级名称 '一年级39班' 中提取到年级: 1
2025-11-21 14:50:00 - analyzer - DEBUG - 从班级名称 '一年级3班' 中提取到年级: 1
2025-11-21 14:50:00 - analyzer - DEBUG - 从班级名称 '一年级40班' 中提取到年级: 1
2025-11-21 14:50:01 - analyzer - DEBUG - 从班级名称 '一年级41班' 中提取到年级: 1
2025-11-21 14:50:01 - analyzer - DEBUG - 从班级名称 '一年级42班' 中提取到年级: 1
2025-11-21 14:50:01 - analyzer - DEBUG - 从班级名称 '一年级43班' 中提取到年级: 1
2025-11-21 14:50:01 - analyzer - DEBUG - 从班级名称 '一年级44班' 中提取到年级: 1
2025-11-21 14:50:01 - analyzer - DEBUG - 从班级名称 '一年级45班' 中提取到年级: 1
2025-11-21 14:50:01 - analyzer - DEBUG - 从班级名称 '一年级46班' 中提取到年级: 1
2025-11-21 14:50:01 - analyzer - DEBUG - 从班级名称 '一年级47班' 中提取到年级: 1
2025-11-21 14:50:01 - analyzer - DEBUG - 从班级名称 '一年级48班' 中提取到年级: 1
2025-11-21 14:50:02 - analyzer - DEBUG - 从班级名称 '一年级49班' 中提取到年级: 1
2025-11-21 14:50:02 - analyzer - DEBUG - 从班级名称 '一年级4班' 中提取到年级: 1
2025-11-21 14:50:02 - analyzer - DEBUG - 从班级名称 '一年级50班' 中提取到年级: 1
2025-11-21 14:50:02 - analyzer - DEBUG - 从班级名称 '一年级51班' 中提取到年级: 1
2025-11-21 14:50:02 - analyzer - DEBUG - 从班级名称 '一年级52班' 中提取到年级: 1
2025-11-21 14:50:02 - analyzer - DEBUG - 从班级名称 '一年级53班' 中提取到年级: 1
2025-11-21 14:50:02 - analyzer - DEBUG - 从班级名称 '一年级54班' 中提取到年级: 1
2025-11-21 14:50:02 - analyzer - DEBUG - 从班级名称 '一年级55班' 中提取到年级: 1
2025-11-21 14:50:03 - analyzer - DEBUG - 从班级名称 '一年级56班' 中提取到年级: 1
2025-11-21 14:50:03 - analyzer - DEBUG - 从班级名称 '一年级57班' 中提取到年级: 1
2025-11-21 14:50:03 - analyzer - DEBUG - 从班级名称 '一年级58班' 中提取到年级: 1
2025-11-21 14:50:03 - analyzer - DEBUG - 从班级名称 '一年级59班' 中提取到年级: 1
2025-11-21 14:50:03 - analyzer - DEBUG - 从班级名称 '一年级5班' 中提取到年级: 1
2025-11-21 14:50:03 - analyzer - DEBUG - 从班级名称 '一年级60班' 中提取到年级: 1
2025-11-21 14:50:03 - analyzer - DEBUG - 从班级名称 '一年级61班' 中提取到年级: 1
2025-11-21 14:50:04 - analyzer - DEBUG - 从班级名称 '一年级62班' 中提取到年级: 1
2025-11-21 14:50:04 - analyzer - DEBUG - 从班级名称 '一年级63班' 中提取到年级: 1
2025-11-21 14:50:04 - analyzer - DEBUG - 从班级名称 '一年级64班' 中提取到年级: 1
2025-11-21 14:50:04 - analyzer - DEBUG - 从班级名称 '一年级65班' 中提取到年级: 1
2025-11-21 14:50:04 - analyzer - DEBUG - 从班级名称 '一年级66班' 中提取到年级: 1
2025-11-21 14:50:04 - analyzer - DEBUG - 从班级名称 '一年级67班' 中提取到年级: 1
2025-11-21 14:50:04 - analyzer - DEBUG - 从班级名称 '一年级68班' 中提取到年级: 1
2025-11-21 14:50:05 - analyzer - DEBUG - 从班级名称 '一年级69班' 中提取到年级: 1
2025-11-21 14:50:05 - analyzer - DEBUG - 从班级名称 '一年级6班' 中提取到年级: 1
2025-11-21 14:50:05 - analyzer - DEBUG - 从班级名称 '一年级70班' 中提取到年级: 1
2025-11-21 14:50:05 - analyzer - DEBUG - 从班级名称 '一年级71班' 中提取到年级: 1
2025-11-21 14:50:05 - analyzer - DEBUG - 从班级名称 '一年级72班' 中提取到年级: 1
2025-11-21 14:50:05 - analyzer - DEBUG - 从班级名称 '一年级73班' 中提取到年级: 1
2025-11-21 14:50:05 - analyzer - DEBUG - 从班级名称 '一年级74班' 中提取到年级: 1
2025-11-21 14:50:06 - analyzer - DEBUG - 从班级名称 '一年级75班' 中提取到年级: 1
2025-11-21 14:50:06 - analyzer - DEBUG - 从班级名称 '一年级76班' 中提取到年级: 1
2025-11-21 14:50:06 - analyzer - DEBUG - 从班级名称 '一年级77班' 中提取到年级: 1
2025-11-21 14:50:06 - analyzer - DEBUG - 从班级名称 '一年级78班' 中提取到年级: 1
2025-11-21 14:50:06 - analyzer - DEBUG - 从班级名称 '一年级79班' 中提取到年级: 1
2025-11-21 14:50:06 - analyzer - DEBUG - 从班级名称 '一年级7班' 中提取到年级: 1
2025-11-21 14:50:06 - analyzer - DEBUG - 从班级名称 '一年级80班' 中提取到年级: 1
